2차통과,2차등급,종목,코드,시장,전략,전략파라미터,1차데이터기준일,1차등급,1차TEST수익,재현TEST수익,재현오차,재현학습끝일,재현TEST시작일,재현Embargo거래일,1차q,비용양수비율,비용중앙수익,비용최악MDD,비용최소PF,비용최소거래수,파라미터양수비율,파라미터중앙수익,파라미터최악MDD,10년양수비율,10년중앙수익,10년최악MDD,10년거래수,보류사유,확인엔진
❌,보류,NAVER,035420.KS,KR,반전,"{""bb"": 0.25, ""rsi"": 40}",2026-09-23,B,0.2185873320601814,0.21858733206018144,2.7755575615628914e-17,2025-07-01,2025-07-09,5,1.0,1.0,0.20650834319786848,-0.1696472696531489,5.0842044563196644,5,1.0,0.20650834319786848,-0.21192389303567516,0.75,0.08722471543471899,-0.30178785724991253,25,10년MDD,8.5-frozen-confirm
❌,보류,삼성중공업,010140.KS,KR,추세,"{""fast"": 21, ""rsi_max"": 74, ""slow"": 200, ""vol_min"": 0.7}",2026-09-23,B,0.1862378884158548,0.18623788841585487,5.551115123125783e-17,2025-07-01,2025-07-09,5,1.0,1.0,0.11920392125081491,-0.2107063995742059,1.2242522280783321,29,1.0,0.11920392125081491,-0.19070485162108586,0.5,0.0932929783259226,-0.48478788613563295,139,10년MDD,8.5-frozen-confirm
✅,확인후보,Caterpillar,CAT,US,돌파,"{""lookback"": 20, ""vol"": 0.9}",2026-09-24,B,0.404503771599928,0.4045038788555857,1.0725565768865408e-07,2025-07-01,2025-07-10,5,1.0,1.0,0.3849846214658905,-0.1632792939801151,3.526149137911395,7,1.0,0.35319155653135115,-0.159048584617412,0.75,0.1897155398774375,-0.252620229444361,32,-,8.5-frozen-confirm
✅,확인후보,셀트리온,068270.KS,KR,반전,"{""bb"": 0.25, ""rsi"": 40}",2026-09-23,B,0.1859324158143458,0.18593241581434583,2.7755575615628914e-17,2025-07-01,2025-07-09,5,1.0,1.0,0.17410744960562097,-0.0951450357149366,4.181963905546942,5,1.0,0.17410744960562097,-0.12247086009520525,0.75,0.10387614662921207,-0.19320492389061872,29,-,8.5-frozen-confirm
✅,확인후보,Chevron,CVX,US,반전,"{""bb"": 0.25, ""rsi"": 40}",2026-09-24,B,0.1464130723421011,0.1464129800841072,9.225799391110456e-08,2025-07-01,2025-07-10,5,1.0,1.0,0.1327037224334302,-0.06841603180387756,9.649826160950589,6,1.0,0.1327037224334302,-0.08208472318588178,1.0,0.09999558680112253,-0.17438245191856339,28,-,8.5-frozen-confirm
✅,확인후보,Berkshire,BRK-B,US,반전,"{""bb"": 0.18, ""rsi"": 38}",2026-09-24,B,0.1367944502545506,0.13679445025455061,2.7755575615628914e-17,2025-07-01,2025-07-10,5,0.9876543209876544,1.0,0.12094524419924824,-0.03161911681012075,25.277008145198288,7,1.0,0.1258419606727048,-0.03206838316988281,0.75,0.11124991083619007,-0.14712396187249122,21,-,8.5-frozen-confirm
✅,확인후보,Visa,V,US,반전,"{""bb"": 0.25, ""rsi"": 40}",2026-09-24,B,0.0619171332047818,0.06191733727043114,2.0406564933683757e-07,2025-07-01,2025-07-10,5,1.0,1.0,0.049282207780805276,-0.07690551799061895,1.937106026702342,6,1.0,0.049282207780805276,-0.10138122543526151,1.0,0.20235401792678642,-0.15254241309169747,32,-,8.5-frozen-confirm
✅,확인후보,AbbVie,ABBV,US,돌파,"{""lookback"": 20, ""vol"": 0.9}",2026-09-24,관찰,0.0369557952333354,0.03695579556127937,3.279439705905496e-10,2025-07-01,2025-07-10,5,1.0,1.0,0.024522216858894774,-0.1960507693593192,1.1502226013566141,6,0.75,0.01661672842401607,-0.1879121454038234,1.0,0.08809089402529025,-0.25324950587270456,30,-,8.5-frozen-confirm
